# Program:featureCounts v2.0.6; Command:"featureCounts" "-O" "-t" "gene" "-g" "gene_name" "-a" "gencode.v41.annotation.gtf" "-o" "counts.txt" "./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam" "-T" "20" "-p" 
Geneid	Chr	Start	End	Strand	Length	./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam
MIR6859-2	chr1	187891	187958	-	68	0	2	0	0	0	0
ENSG00000228463	chr1	257864	359681	-	101818	26	5	11	38	10	4
ENSG00000286448	chr1	266855	268655	+	1801	7	0	0	9	2	2
RPL23AP24	chr1	347982	348366	-	385	1	0	0	0	0	0
ENSG00000236601	chr1	358857	366052	+	7196	0	0	0	0	0	0
ENSG00000237094	chr1	365389	522928	-	157540	18	10	27	19	13	5
WBP1LP7	chr1	439870	440232	+	363	0	0	0	0	0	0
OR4F29	chr1	450740	451678	-	939	0	0	0	0	0	0
CICP7	chr1	487101	489906	+	2806	0	0	0	0	0	0
ENSG00000250575	chr1	491225	493241	-	2017	0	0	1	0	0	0
U6	chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr3;chr3;chr4;chr4;chr4;chr4;chr4;chr9;chr10;chr11;chr11;chr12;chr12;chr13;chr14;chr15;chr15;chr15;chr16;chr17;chr20;chr20;chr21;chr22;chr22;chrX	516376;43023549;247607126;43716467;180758722;47781379;88367793;129819777;139388277;13051342;29510635;48109353;70848136;135315418;64082429;102868421;87648489;132525809;31366288;45554590;18418526;24352057;21428879;65843484;98026042;72376704;90796;30713240;35769785;28743208;15273855;16141767;86481028	516479;43023637;247607201;43716556;180758817;47781465;88367862;129819876;139388364;13051411;29510737;48109410;70848218;135315522;64082534;102868519;87648549;132525887;31366366;45554659;18418632;24352157;21428985;65843558;98026139;72376760;90899;30713346;35769867;28743291;15273961;16141872;86481130	-;-;-;+;+;+;-;+;+;+;+;-;-;-;+;+;-;+;+;-;+;-;-;+;+;+;-;-;-;+;+;+;+	2952	7	1	9	7	1	1
ENSG00000230021	chr1	586071	827796	-	241726	18789	17381	40177	18536	14808	3687
ENSG00000235146	chr1	587629	594768	+	7140	0	1	0	0	0	0
MTND1P23	chr1	629062	629433	+	372	18	12	60	14	2	6
MTND2P28	chr1	629640	630683	+	1044	2226	2152	6222	1722	1564	376
MTCO1P12	chr1	631074	632616	+	1543	2010	957	1207	4219	2565	171
ENSG00000278791	chr1	632325	632413	-	89	55	74	284	66	27	15
MTCO2P12	chr1	632757	633438	+	682	109	185	482	115	99	22
MTATP8P1	chr1	633535	633741	+	207	165	81	181	143	91	44
MTATP6P1	chr1	633696	634376	+	681	13662	13580	31472	12033	10301	2992
MTCO3P12	chr1	634376	634922	+	547	146	138	363	101	43	26
WBP1LP6	chr1	674842	675265	+	424	0	0	0	0	0	0
OR4F16	chr1	685716	686654	-	939	0	0	0	0	0	0
CICP3	chr1	722092	724903	+	2812	6	2	0	2	0	0
ENSG00000228327	chr1	725885	778688	-	52804	160	82	109	103	48	19
RNU6-1199P	chr1	758233	758336	-	104	0	0	0	0	0	0
ENSG00000229905	chr1	760911	761989	+	1079	0	0	0	0	2	0
LINC01409	chr1	778747	810065	+	31319	252	133	170	99	94	44
ENSG00000285268	chr1	781937	782050	+	114	2	6	0	0	3	0
ENSG00000230092	chr1	800879	817712	-	16834	183	84	111	90	60	16
FAM87B	chr1	817371	819837	+	2467	5	6	0	16	9	2
LINC00115	chr1	824228	827539	-	3312	48	22	4	5	12	9
LINC01128	chr1	825138	859446	+	34309	1216	1150	702	695	762	263
ENSG00000288531	chr1	860226	868202	+	7977	0	0	0	0	0	0
FAM41C	chr1	868071	876903	-	8833	0	3	0	0	2	2
TUBB8P11	chr1	873292	874349	+	1058	0	0	0	0	0	2
ENSG00000283040	chr1	874529	877234	-	2706	0	1	0	0	0	0
ENSG00000272438	chr1	904834	915976	+	11143	0	2	1	0	0	0
ENSG00000230699	chr1	911435	914948	+	3514	0	0	1	0	0	0
ENSG00000241180	chr1	914171	914971	+	801	0	0	0	0	0	0
LINC02593	chr1	916865	921016	-	4152	0	0	0	0	0	0
SAMD11	chr1	923923	944575	+	20653	268	458	77	187	325	72
NOC2L	chr1	944203	959309	-	15107	3444	5035	1308	2620	4314	814
KLHL17	chr1	960584	965719	+	5136	154	172	76	104	100	20
PLEKHN1	chr1	966482	975865	+	9384	10	18	8	8	24	4
PERM1	chr1	975198	982117	-	6920	0	4	6	4	4	0
ENSG00000272512	chr1	995966	998051	-	2086	0	0	0	0	0	0
HES4	chr1	998962	1000172	-	1211	0	0	0	0	4	0
ISG15	chr1	1001138	1014540	+	13403	700	488	320	460	308	42
ENSG00000231702	chr1	1008076	1008229	-	154	52	48	86	38	28	4
ENSG00000224969	chr1	1011997	1013193	-	1197	5	0	0	0	1	0
AGRN	chr1	1020120	1056118	+	35999	377	902	336	1024	1512	218
ENSG00000242590	chr1	1055033	1056116	+	1084	70	169	93	242	308	52
ENSG00000217801	chr1	1059687	1069355	+	9669	166	242	180	560	996	142
ENSG00000273443	chr1	1062208	1063288	-	1081	17	42	27	95	154	29
RNF223	chr1	1070967	1074306	-	3340	0	4	0	4	0	0
C1orf159	chr1	1081818	1116361	-	34544	385	385	270	396	362	70
ENSG00000285812	chr1	1097585	1104598	+	7014	69	20	42	30	26	8
LINC01342	chr1	1137017	1144056	+	7040	0	4	0	0	0	0
MIR200B	chr1	1167104	1167198	+	95	0	0	0	0	0	0
MIR200A	chr1	1167863	1167952	+	90	0	0	0	0	0	0
MIR429	chr1	1169005	1169087	+	83	0	0	0	0	0	0
ENSG00000272141	chr1	1169357	1170343	+	987	0	0	0	0	0	0
TTLL10-AS1	chr1	1173056	1179555	-	6500	4	2	0	0	0	0
TTLL10	chr1	1173880	1197936	+	24057	8	2	0	0	0	0
TNFRSF18	chr1	1203508	1206592	-	3085	324	363	92	177	206	26
TNFRSF4	chr1	1211326	1214153	-	2828	1292	1676	372	591	1013	116
SDF4	chr1	1216931	1232031	-	15101	3190	3896	1658	2368	2775	634
B3GALT6	chr1	1232237	1235041	+	2805	903	1304	654	730	966	236
C1QTNF12	chr1	1242446	1246722	-	4277	4	4	0	6	10	2
ENSG00000260179	chr1	1249777	1251334	-	1558	9	2	0	4	4	0
UBE2J2	chr1	1253909	1273864	-	19956	1864	2088	915	1318	1468	314
LINC01786	chr1	1275223	1280420	+	5198	10	9	2	6	0	0
SCNN1D	chr1	1280436	1292029	+	11594	40	32	13	24	8	6
ACAP3	chr1	1292390	1309609	-	17220	443	484	208	421	368	73
MIR6726	chr1	1296110	1296170	-	61	0	0	0	0	1	1
PUSL1	chr1	1308597	1311677	+	3081	280	405	88	231	268	54
INTS11	chr1	1311585	1324687	-	13103	2920	3410	1272	2171	2579	561
MIR6727	chr1	1312502	1312566	-	65	10	5	2	10	3	0
ENSG00000240731	chr1	1317581	1318689	-	1109	150	114	55	89	55	31
CPTP	chr1	1324756	1328896	+	4141	456	600	198	378	366	38
TAS1R3	chr1	1331280	1335314	+	4035	11	34	0	8	2	2
DVL1	chr1	1335276	1349418	-	14143	676	786	328	490	580	111
MIR6808	chr1	1339650	1339708	-	59	2	2	0	1	0	0
MXRA8	chr1	1352689	1361777	-	9089	156	82	24	35	33	6
AURKAIP1	chr1	1373730	1375207	-	1478	1019	1586	303	848	1158	178
NDUFB4P8	chr1	1378666	1379032	+	367	0	0	0	0	0	0
CCNL2	chr1	1385711	1399335	-	13625	2886	2287	1565	1904	1489	324
MRPL20-AS1	chr1	1399515	1402046	+	2532	1134	1159	473	582	767	201
MRPL20	chr1	1401909	1407293	-	5385	2793	2678	1495	1785	2502	509
RN7SL657P	chr1	1405460	1405752	-	293	54	26	14	15	10	8
MRPL20-DT	chr1	1409096	1410618	+	1523	57	64	24	44	32	5
ANKRD65	chr1	1418420	1421769	-	3350	0	2	4	0	2	0
ANKRD65-AS1	chr1	1420245	1422691	+	2447	0	0	0	0	0	0
TMEM88B	chr1	1425871	1430255	+	4385	0	0	0	0	0	0
LINC01770	chr1	1430539	1434573	-	4035	0	0	0	0	0	2
VWA1	chr1	1434861	1442882	+	8022	1	0	0	0	0	0
ATAD3C	chr1	1449689	1470163	+	20475	30	14	18	42	47	0
ATAD3B	chr1	1471765	1497848	+	26084	1055	1326	400	822	1017	183
ENSG00000284740	chr1	1503250	1509466	+	6217	8	2	0	0	4	0
ATAD3A	chr1	1512162	1534685	+	22524	827	1238	358	741	973	149
TMEM240	chr1	1534778	1540624	-	5847	8	8	0	2	6	0
SSU72	chr1	1541673	1574863	-	33191	3815	4180	3172	3273	3416	688
ENSG00000215014	chr1	1574102	1577075	+	2974	302	419	236	244	251	70
ENSG00000274481	chr1	1583510	1583909	-	400	0	0	0	0	0	0
FNDC10	chr1	1598012	1600135	-	2124	170	152	80	156	168	16
ENSG00000286989	chr1	1600314	1602703	+	2390	30	20	5	16	8	2
ENSG00000272106	chr1	1613758	1615795	-	2038	159	118	70	96	71	20
MIB2	chr1	1615454	1630605	+	15152	654	551	240	340	254	52
MMP23B	chr1	1632163	1635263	+	3101	0	3	0	0	0	0
CDK11B	chr1	1635225	1659012	-	23788	1866	1910	974	676	651	326
ENSG00000272004	chr1	1659325	1662602	+	3278	413	269	371	236	170	100
SLC35E2B	chr1	1659529	1692795	-	33267	3497	2351	2479	1523	1112	680
ENSG00000269737	chr1	1671990	1674397	+	2408	221	117	63	34	33	34
MMP23A	chr1	1699942	1701782	+	1841	0	1	0	0	0	0
CDK11A	chr1	1702379	1724357	-	21979	793	687	496	567	525	136
ENSG00000268575	chr1	1702736	1737688	-	34953	2949	1828	996	1123	783	220
ENSG00000227775	chr1	1724512	1737251	+	12740	2169	1147	500	551	260	85
SLC35E2A	chr1	1724838	1745992	-	21155	2286	1205	591	648	320	98
NADK	chr1	1751232	1780457	-	29226	1192	1397	517	763	1162	214
GNB1	chr1	1785285	1891117	-	105833	12537	13999	9392	10542	13196	3536
GNB1-DT	chr1	1891223	1892726	+	1504	0	0	6	2	0	0
CALML6	chr1	1915108	1917296	+	2189	0	8	0	0	0	0
TMEM52	chr1	1917590	1919279	-	1690	8	22	0	12	10	0
CFAP74	chr1	1921951	2003837	-	81887	3	1	0	2	0	0
ENSG00000233542	chr1	2013213	2015639	-	2427	0	0	0	0	0	0
GABRD	chr1	2019329	2030758	+	11430	2	0	0	0	0	0
PRKCZ-DT	chr1	2049203	2050070	-	868	0	0	0	0	0	0
PRKCZ	chr1	2050411	2185395	+	134985	965	888	561	737	674	161
ENSG00000271806	chr1	2141084	2145279	-	4196	37	46	19	38	31	8
PRKCZ-AS1	chr1	2181794	2184389	-	2596	107	136	78	88	64	12
FAAP20	chr1	2184461	2212720	-	28260	839	1033	419	618	690	110
ENSG00000234396	chr1	2212523	2220738	+	8216	4	0	0	2	4	0
SKI	chr1	2228319	2310213	+	81895	3302	4515	1979	2338	2908	732
ENSG00000287356	chr1	2315040	2323085	+	8046	20	14	2	2	0	0
MORN1	chr1	2321253	2391707	-	70455	414	266	185	238	152	38
ENSG00000272161	chr1	2326201	2326693	-	493	2	0	0	0	0	0
ENSG00000269896	chr1	2350414	2352820	-	2407	45	30	38	24	14	4
ENSG00000272420	chr1	2363061	2363628	-	568	2	2	2	3	0	0
RER1	chr1	2391775	2405442	+	13668	3530	3332	1958	2469	2917	599
PEX10	chr1	2403964	2413797	-	9834	1033	979	643	723	931	178
PLCH2	chr1	2425980	2505532	+	79553	253	162	120	146	62	16
ENSG00000224387	chr1	2492300	2493258	-	959	4	2	6	2	0	0
ENSG00000229393	chr1	2493437	2494479	-	1043	8	4	0	2	0	0
PANK4	chr1	2508537	2526597	-	18061	1311	1102	578	980	726	178
HES5	chr1	2528745	2530263	-	1519	4	6	6	0	2	0
ENSG00000272449	chr1	2530064	2547471	+	17408	162	160	12	76	40	16
TNFRSF14-AS1	chr1	2549920	2557031	-	7112	1086	979	338	772	381	120
TNFRSF14	chr1	2555639	2565382	+	9744	6428	4456	2356	3872	2094	480
ENSG00000225931	chr1	2566410	2569888	+	3479	25	20	2	6	4	2
ENSG00000228037	chr1	2581560	2584533	+	2974	133	51	36	52	27	4
ENSG00000289610	chr1	2585610	2586060	+	451	0	0	0	0	2	0
PRXL2B	chr1	2586491	2591469	+	4979	2050	1955	753	1740	1751	278
MMEL1	chr1	2590639	2633016	-	42378	603	629	364	570	545	103
MMEL1-AS1	chr1	2632568	2636620	+	4053	0	2	0	4	2	6
TTC34	chr1	2636986	2801693	-	164708	108	72	44	86	38	2
ENSG00000285945	chr1	2768091	2784733	+	16643	14	0	0	12	2	0
ENSG00000283259	chr1	2773603	2776473	+	2871	4	0	0	2	2	0
ENSG00000233234	chr1	2811850	2812692	-	843	0	0	0	0	0	0
ENSG00000287396	chr1	2814056	2817767	+	3712	0	0	0	0	0	0
ENSG00000231630	chr1	2814432	2814998	-	567	0	0	0	0	0	0
ENSG00000284745	chr1	2960658	2968707	-	8050	0	0	0	0	0	0
ACTRT2	chr1	3021467	3022903	+	1437	0	0	0	0	0	0
PRDM16-DT	chr1	3059611	3069091	-	9481	0	2	0	0	6	0
PRDM16	chr1	3069168	3438621	+	369454	16	32	10	38	64	4
MIR4251	chr1	3127975	3128035	+	61	0	0	0	0	0	0
ENSG00000226286	chr1	3132927	3133709	-	783	0	0	0	0	0	0
ENSG00000279839	chr1	3205988	3208664	+	2677	0	0	6	0	0	0
ENSG00000272235	chr1	3306636	3310096	-	3461	0	0	0	0	0	0
ENSG00000287828	chr1	3313052	3323149	-	10098	0	0	0	0	0	0
ENSG00000286518	chr1	3367815	3373928	-	6114	0	0	0	0	2	0
ARHGEF16	chr1	3454665	3481113	+	26449	0	0	0	2	0	0
ENSG00000272088	chr1	3487246	3487627	+	382	0	0	8	0	0	0
MEGF6	chr1	3487951	3611508	-	123558	850	402	390	408	92	12
MIR551A	chr1	3560695	3560790	-	96	0	0	0	0	0	0
ENSG00000238260	chr1	3622857	3624786	-	1930	16	4	10	6	1	2
TPRG1L	chr1	3625015	3630127	+	5113	2800	2138	1770	2164	1810	386
WRAP73	chr1	3630767	3652761	-	21995	1042	948	594	666	672	146
TP73	chr1	3652516	3736201	+	83686	30	7	24	9	20	4
TP73-AS3	chr1	3658938	3668772	-	9835	0	0	0	0	0	0
TP73-AS2	chr1	3712200	3714298	-	2099	0	0	0	0	0	0
TP73-AS1	chr1	3735511	3747373	-	11863	1268	1016	540	830	846	168
ENSG00000276189	chr1	3736943	3737103	+	161	10	7	2	12	6	0
CCDC27	chr1	3746460	3771645	+	25186	152	171	62	111	117	17
SMIM1	chr1	3772749	3775982	+	3234	14	30	12	12	16	2
LRRC47	chr1	3778559	3796498	-	17940	1902	1891	924	1419	1484	302
RN7SL574P	chr1	3782815	3783111	+	297	9	0	2	3	6	2
ENSG00000272153	chr1	3785008	3785538	+	531	161	176	78	131	145	17
CEP104	chr1	3812086	3857396	-	45311	2356	1989	1884	1402	1718	434
DFFB	chr1	3857267	3885429	+	28163	871	502	416	562	428	102
C1orf174	chr1	3889125	3900293	-	11169	1242	1180	856	928	1110	243
LINC01134	chr1	3900347	3917225	+	16879	36	34	26	8	16	0
LINC01346	chr1	3940486	3955262	+	14777	0	0	0	0	0	0
LINC01345	chr1	3944547	3949024	-	4478	0	0	0	0	0	0
LINC02780	chr1	3976133	4012704	+	36572	0	0	0	1	0	0
ENSG00000284703	chr1	4012921	4019508	-	6588	0	0	0	0	0	0
EEF1DP6	chr1	4175528	4175899	-	372	0	0	0	0	0	0
LINC01777	chr1	4412027	4424689	+	12663	0	0	0	0	0	0
ENSG00000284694	chr1	4479131	4484375	-	5245	0	0	0	0	0	0
ENSG00000227169	chr1	4551735	4552145	-	411	0	0	0	0	0	0
LINC01646	chr1	4571481	4594016	+	22536	0	0	0	0	0	0
AJAP1	chr1	4654609	4792534	+	137926	24	4	20	10	2	0
ENSG00000287586	chr1	4730211	4734992	-	4782	2	0	0	0	0	0
ENSG00000284739	chr1	4963954	4973298	-	9345	0	0	0	0	0	0
LINC02781	chr1	4973381	4981568	+	8188	0	0	0	0	0	0
LINC02782	chr1	5086459	5090899	-	4441	0	0	0	0	0	0
ENSG00000284616	chr1	5301928	5307394	-	5467	0	0	0	0	0	0
ENSG00000284692	chr1	5478736	5493057	-	14322	0	0	0	0	0	0
ENSG00000284666	chr1	5480787	5482028	-	1242	0	0	0	0	0	0
ENSG00000260972	chr1	5492978	5494674	+	1697	0	0	0	0	0	0
ENSG00000283356	chr1	5554747	5554881	+	135	0	0	0	0	0	0
ENSG00000236948	chr1	5561709	5668295	-	106587	10	6	54	10	0	0
ENSG00000264341	chr1	5564071	5564143	+	73	0	0	0	0	0	0
ENSG00000289893	chr1	5733358	5771453	-	38096	0	0	0	0	0	0
MIR4689	chr1	5862672	5862741	-	70	0	0	0	0	1	0
NPHP4	chr1	5862811	5992473	-	129663	312	260	154	215	210	62
KCNAB2	chr1	5990927	6101193	+	110267	7876	8906	4807	7769	9975	2306
CHD5	chr1	6101787	6180321	-	78535	16	2	0	8	11	0
ENSG00000285629	chr1	6159430	6197757	-	38328	26266	17287	14278	19749	15734	4401
RPL22	chr1	6185020	6209389	-	24370	26380	17447	14397	19814	15812	4434
RNF207-AS1	chr1	6204840	6205780	-	941	0	0	0	0	0	0
RNF207	chr1	6205475	6221299	+	15825	29	15	20	26	23	8
ICMT	chr1	6221193	6235972	-	14780	2108	2224	1296	1783	2822	497
ICMT-DT	chr1	6234692	6239444	+	4753	62	83	14	45	102	13
HES3	chr1	6244179	6245578	+	1400	0	0	0	0	0	0
GPR153	chr1	6247353	6261098	-	13746	28	46	4	20	40	14
ACOT7	chr1	6264269	6393767	-	129499	1076	1799	640	824	1733	377
ENSG00000271746	chr1	6393555	6394391	+	837	3	4	6	4	8	0
HES2	chr1	6412418	6424670	-	12253	0	2	0	0	2	0
ESPN	chr1	6424776	6461367	+	36592	429	606	298	178	274	61
MIR4252	chr1	6429834	6429896	-	63	0	0	0	0	0	0
ENSG00000231868	chr1	6443034	6447006	-	3973	0	2	4	0	0	0
TNFRSF25	chr1	6460786	6466175	-	5390	2896	4412	1175	1613	1444	472
PLEKHG5	chr1	6467122	6520074	-	52953	117	118	82	43	36	16
NOL9	chr1	6521347	6554513	-	33167	2918	2076	1388	1471	1873	474
RNU6-731P	chr1	6540854	6540964	+	111	1	0	0	0	0	0
ENSG00000229519	chr1	6547905	6548619	+	715	28	22	20	18	17	4
TAS1R1	chr1	6555307	6579755	+	24449	2	0	0	2	0	0
ZBTB48	chr1	6579994	6589280	+	9287	982	816	388	544	460	126
KLHL21	chr1	6590724	6614607	-	23884	2070	1700	894	1499	1446	260
PHF13	chr1	6613731	6624030	+	10300	1282	1020	660	1112	840	170
THAP3	chr1	6624868	6635586	+	10719	1065	970	491	674	793	143
DNAJC11	chr1	6634168	6701924	-	67757	2374	2369	1356	1458	1859	474
LINC01672	chr1	6724637	6730012	+	5376	0	0	0	0	0	0
ENSG00000284744	chr1	6767954	6770038	+	2085	0	0	0	0	0	0
CAMTA1-DT	chr1	6783892	6784843	-	952	0	0	2	0	2	0
CAMTA1	chr1	6785454	7769706	+	984253	916	719	715	562	578	148
ENSG00000227950	chr1	6834333	6834618	-	286	0	0	0	0	0	0
ENSG00000237365	chr1	7008376	7014279	-	5904	0	0	0	0	0	0
RNU1-8P	chr1	7219360	7219524	+	165	0	0	0	0	0	0
CAMTA1-IT1	chr1	7368942	7370270	+	1329	0	0	0	0	0	0
CAMTA1-AS2	chr1	7382487	7389754	-	7268	0	0	0	0	0	0
CAMTA1-AS1	chr1	7441096	7441554	-	459	0	0	0	0	0	0
ENSG00000270171	chr1	7693124	7694844	-	1721	0	0	0	0	0	0
ENSG00000270035	chr1	7698303	7698872	-	570	0	0	0	0	0	0
ENSG00000269978	chr1	7700704	7700970	-	267	0	0	0	0	0	0
VAMP3	chr1	7771296	7781432	+	10137	1231	958	967	820	794	198
ENSG00000269925	chr1	7776383	7776775	+	393	11	10	4	6	15	0
PER3	chr1	7784291	7845177	+	60887	848	645	499	312	381	90
ENSG00000236266	chr1	7810242	7827342	-	17101	155	119	167	60	63	24
UTS2	chr1	7843083	7853512	-	10430	293	198	91	114	142	12
TNFRSF9	chr1	7915871	7943165	-	27295	1670	6382	1044	2451	9076	836
ENSG00000270330	chr1	7942372	7942726	+	355	0	0	0	0	0	0
PARK7	chr1	7954291	7985505	+	31215	5189	5799	2635	4661	6892	1154
